id,Star_name,Distance,Mass,Radius
,,,,
0,Sun,0.000015813,1,1
,,,,
1,Sirius,8.6,2.1,1.71
,,,,
2,Canopus,310,15,71
,,,,
3,Alpha Centauri,4.4,1.1,1.2
,,,,
4,Arcturus,37,1.1,26
,,,,
5,Vega,25,2.2,2.7
,,,,
6,Capella,43,2.6,12
,,,,
7,Rigel,860,23,78.9
,,,,
8,Procyon,11.4,1.5,1.9
,,,,
9,Betelgeuse,0640[1],20,950
,,,,
10,Achernar,144,6.7,9.3
,,,,
11,Hadar,390,10.5,8.6
,,,,
12,Altair,17,1.8,1.8
,,,,
13,Acrux,320,18,8.9
,,,,
14,Aldebaran,65,1.5,44
,,,,
15,Antares,600,12,680
,,,,
16,Spica,260,11.43,7.47
,,,,
17,Pollux,34,1.9,8.8
,,,,
18,Fomalhaut,25,1.9,1.8
,,,,
19,Deneb,"2,600",19,203
,,,,
20,Mimosa,350,16,8.4
,,,,
21,Regulus,77,3.8,3.1
,,,,
22,Adhara,430,12.5,14
,,,,
23,Shaula,700,14.5,8.8
,,,,
24,Castor,52,2.8,2.4
,,,,
25,Gacrux,88,1.5,84
,,,,
26,Bellatrix,240,8.6,5.8
,,,,
27,Elnath,130,5,4.2
,,,,
28,Miaplacidus,110,3.5,6.8
,,,,
29,Alnilam,"2,000",32,42
,,,,
30,Gamma Velorum,"1,100",9,6
,,,,
31,Alnair,101,4,3.4
,,,,
32,Alioth,81,2.9,4.2
,,,,
33,Alnitak,1050,33,20
,,,,
34,Dubhe,120,4.25,30
,,,,
35,Mirfak,590,8.5,68
,,,,
36,Wezen,"1,600",17,200
,,,,
37,Sargas,270,5.7,26
,,,,
38,Kaus Australis,140,3.5,6.8
,,,,
39,Avior,630,9,130
,,,,
40,Alkaid,104,6.1,3.4
,,,,
41,Menkalinan,81,2.39,2.77
,,,,
42,Atria,390,7,92
,,,,
43,Alhena,109,2.8,3.3
,,,,
44,Peacock,180,5.9,4.8
,,,,
45,Alsephina[2],80,2.4,2.9
,,,,
46,Mirzam,500,13.5,10
,,,,
47,Polaris,430,5.4,39
,,,,
48,Alphard,180,3,50
,,,,
49,Mintaka,1200,24,16.5
,,,,
50,Scheat,196,2.1,95
,,,,
51,Almaaz,653,15,140
,,,,
52,Rasalgethi,360,2.8,280
,,,,
53,Tau Ceti,11.9,0.783,0.893
,,,,
54,Delta Pavonis,19.92,0.991,1.22
,,,,
55,Ran,10.48,0.82,0.74
,,,,
56,V382 Carinae,"8,900",20,485
,,,,
57,Eta Carinae,"7,500",100,60–881
,,,,
58,Delta Cephei,887,4.5,44.5
,,,,
